StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,CONSENT,COMP1.1,COMP1.2,Q74,Q41,Q61,Q47,Q51,Q57,Q60,TRUST_FINDING_1,TRUST_AUTHOR_1,TRUST_FINDING_2,TRUST_AUTHOR_2,TRUST_FINDING_3,TRUST_AUTHOR_3,COMP2.1,COMP2.2,Q75,Q43,Q63,Q46,Q50,Q56,Q59,COMP3.1,COMP3.2,Q76,Q42,Q64,Q44,Q49,Q55,Q58,Q66,Q65,Q67,Q68,condition,counter,firstArticle,secondArticle,thirdArticle,CreationTime
2024-11-25 15:54:50,2024-11-25 16:59:16,100,3865,True,2024-11-25 16:59:16,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,39,Female,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:55:26,2024-11-25 16:09:34,100,847,True,2024-11-25 16:09:34,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Male,Asian or Asian American,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:01,2024-11-25 16:08:29,100,627,True,2024-11-25 16:08:29,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Female,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:08,2024-11-25 16:54:27,100,3378,True,2024-11-25 16:54:27,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:13,2024-11-25 16:41:01,100,2568,True,2024-11-25 16:41:02,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:18,2024-11-25 16:38:55,100,2436,True,2024-11-25 16:38:55,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:21,2024-11-25 17:10:44,100,4343,True,2024-11-25 17:10:44,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:58:28,2024-11-25 16:00:53,100,144,True,2024-11-25 16:00:54,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,33,Male,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:59:07,2024-11-25 16:13:26,100,858,True,2024-11-25 16:13:27,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Female,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:59:12,2024-11-25 16:06:24,100,431,True,2024-11-25 16:06:24,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,36,Male,White,"Graduate or professional degree (e.g., MSc, PhD, JD, MD)",1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:59:33,2024-11-25 17:01:05,100,3692,True,2024-11-25 17:01:06,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 15:59:44,2024-11-25 16:56:03,100,3378,True,2024-11-25 16:56:03,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:00:01,2024-11-25 16:57:31,100,3449,True,2024-11-25 16:57:31,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:00:17,2024-11-25 17:24:14,100,5036,True,2024-11-25 17:24:14,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,30,Male,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:00:17,2024-11-25 16:17:45,100,1047,True,2024-11-25 16:17:45,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Female,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:00:22,2024-11-25 17:21:03,100,4840,True,2024-11-25 17:21:03,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:00:35,2024-11-25 16:06:39,99,363,False,2024-12-02 16:06:40,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Agree,Agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,34,Male,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:01:00,2024-11-25 17:15:52,100,4492,True,2024-11-25 17:15:53,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,2,3,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:01:04,2024-11-25 16:44:12,100,2587,True,2024-11-25 16:44:13,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:01:11,2024-11-25 16:03:35,100,143,True,2024-11-25 16:03:36,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Somewhat agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,35,Male,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:01:26,2024-11-25 17:04:38,100,3791,True,2024-11-25 17:04:38,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,,The editor was affiliated with the same institution as the main author of the article,No,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,1,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:01:53,2024-11-25 16:27:52,100,1559,True,2024-11-25 16:27:52,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:02:00,2024-11-25 16:18:15,100,975,True,2024-11-25 16:18:16,anonymous,EN,Yes,Remote working is associated with higher employee productivity,Workplace dynamics,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Neutral,Agree,Neutral,Somewhat agree,Somewhat agree,Agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,35,Male,White,4 year degree (Bachelor's),1,4,2,1,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:02:06,2024-11-25 16:16:52,100,885,True,2024-11-25 16:16:52,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,3,2,1,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:02:20,2024-11-25 17:06:05,100,3824,True,2024-11-25 17:06:05,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Screen time is not associated with school performance,,Adolescent behavior,,,,,,,Playing violent video games is associated with less aggressive behavior,Video games,,The editor has had a recent research collaboration with the main author of the article,,No,,,,25,Female,White,4 year degree (Bachelor's),1,4,1,3,2,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:04:06,2024-11-25 16:08:16,100,249,True,2024-11-25 16:08:16,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Agree,Neutral,Agree,Agree,Somewhat agree,Screen time is not associated with school performance,Adolescent behavior,,The editor has had a recent research collaboration with the main author of the article,,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,34,Male,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
2024-11-25 16:05:13,2024-11-25 16:35:20,100,1806,True,2024-11-25 16:35:20,anonymous,EN,Yes,Remote working is associated with higher employee productivity,,Workplace dynamics,,,,,,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Screen time is not associated with school performance,Adolescent behavior,,,The editor was affiliated with the same institution as the main author of the article,No,,,,Playing violent video games is associated with less aggressive behavior,,Video games,,,,,,,25,Female,White,4 year degree (Bachelor's),1,4,1,2,3,Mon Nov 25 14:45:56 PST 2024
